Champion,wr,wrdelta,rankwr,Pick Rate,Ban Rate,PBI Index,lane,games,rank,wrdiff,PBIno
Tryndamere,51.0,0.62,50.39,3.5,2.43,2.0,top lane,75627.0,PLATINUM,0.6099999999999994,3.278688524590167
Lulu,49.79,0.17,50.39,7.68,7.43,-5.0,support lane,165973.0,PLATINUM,-0.6000000000000014,-8.333333333333314
Draven,48.03,0.24,50.39,3.79,9.66,-10.0,bottom lane,81778.0,PLATINUM,-2.3599999999999994,-4.2372881355932215
Ekko,49.46,-0.01,50.39,3.2,1.74,-3.0,jungle lane,69178.0,PLATINUM,-0.9299999999999997,-3.2258064516129044
Lucian,49.0,0.03,50.39,7.65,2.53,-11.0,bottom lane,165333.0,PLATINUM,-1.3900000000000006,-7.913669064748198
Caitlyn,49.79,0.63,50.39,19.09,29.22,-16.0,bottom lane,412277.0,PLATINUM,-0.6000000000000014,-26.666666666666604
Twisted Fate,50.32,0.24,50.39,3.76,0.58,0.0,middle lane,81190.0,PLATINUM,-0.07000000000000028,0.0
Ezreal,47.42,0.2,50.39,17.87,7.78,-58.0,bottom lane,386063.0,PLATINUM,-2.969999999999999,-19.528619528619537
Ornn,52.32,0.41,50.39,3.79,0.84,7.0,top lane,81935.0,PLATINUM,1.9299999999999997,3.6269430051813476
Sivir,50.27,0.21,50.39,3.55,2.19,0.0,bottom lane,76591.0,PLATINUM,-0.11999999999999744,0.0
Teemo,52.27,0.47,50.39,7.25,11.17,15.0,top lane,156599.0,PLATINUM,1.8800000000000026,7.978723404255308
Talon,48.95,0.0,50.39,3.43,2.48,-5.0,jungle lane,74066.0,PLATINUM,-1.4399999999999977,-3.4722222222222276
Lee Sin,48.99,0.24,50.39,11.58,12.68,-19.0,jungle lane,250203.0,PLATINUM,-1.3999999999999986,-13.571428571428585
Ziggs,51.77,-0.27,50.39,1.56,0.61,2.0,bottom lane,33687.0,PLATINUM,1.3800000000000026,1.449275362318838
Poppy,50.72,0.12,50.39,1.55,1.62,1.0,support lane,33420.0,PLATINUM,0.3299999999999983,3.030303030303046
Xayah,50.45,0.32,50.39,3.14,0.54,0.0,bottom lane,67829.0,PLATINUM,0.060000000000002274,0.0
Aphelios,49.36,0.38,50.39,3.71,1.92,-4.0,bottom lane,80064.0,PLATINUM,-1.0300000000000011,-3.8834951456310636
Pyke,49.24,0.21,50.39,5.86,15.65,-8.0,support lane,126549.0,PLATINUM,-1.1499999999999986,-6.9565217391304435
Sett,51.71,0.65,50.39,6.36,3.67,9.0,top lane,137394.0,PLATINUM,1.3200000000000003,6.818181818181817
Morgana,51.1,0.87,50.39,6.51,23.77,6.0,support lane,140694.0,PLATINUM,0.7100000000000009,8.450704225352103
Veigar,52.13,0.82,50.39,5.05,2.4,9.0,middle lane,109023.0,PLATINUM,1.740000000000002,5.172413793103442
Ambessa,47.82,0.45,50.39,2.57,6.63,-7.0,jungle lane,55525.0,PLATINUM,-2.5700000000000003,-2.723735408560311
Yunara,47.27,0.14,50.39,4.68,2.01,-15.0,bottom lane,101185.0,PLATINUM,-3.1199999999999974,-4.807692307692312
Rammus,53.13,0.53,50.39,2.29,5.67,7.0,jungle lane,49476.0,PLATINUM,2.740000000000002,2.5547445255474432
Kai'Sa,48.1,0.29,50.39,13.88,2.2,-33.0,bottom lane,299776.0,PLATINUM,-2.289999999999999,-14.410480349344983
Corki,48.02,0.17,50.39,1.53,0.38,-4.0,bottom lane,33109.0,PLATINUM,-2.3699999999999974,-1.6877637130801706
Pantheon,48.68,0.51,50.39,3.53,2.09,-6.0,support lane,76247.0,PLATINUM,-1.7100000000000009,-3.5087719298245594
Aatrox,49.94,0.29,50.39,5.46,8.45,-3.0,top lane,117838.0,PLATINUM,-0.45000000000000284,-6.666666666666624
Urgot,51.21,0.4,50.39,2.49,1.13,2.0,top lane,53788.0,PLATINUM,0.8200000000000003,2.4390243902439015
Taric,51.98,0.2,50.39,1.06,0.2,2.0,support lane,22816.0,PLATINUM,1.5899999999999963,1.2578616352201286
Zac,50.19,0.26,50.39,2.18,0.79,0.0,jungle lane,47037.0,PLATINUM,-0.20000000000000284,0.0
Tristana,49.19,0.83,50.39,4.1,1.48,-5.0,bottom lane,88521.0,PLATINUM,-1.2000000000000028,-4.166666666666657
Karthus,48.49,-0.25,50.39,1.27,0.5,-2.0,jungle lane,27459.0,PLATINUM,-1.8999999999999986,-1.0526315789473693
Katarina,49.62,0.22,50.39,6.8,8.15,-6.0,middle lane,146780.0,PLATINUM,-0.7700000000000031,-7.79220779220776
Varus,47.62,0.44,50.39,3.82,2.81,-11.0,bottom lane,82445.0,PLATINUM,-2.770000000000003,-3.971119133574003
Maokai,50.72,0.65,50.39,1.76,0.23,1.0,support lane,37994.0,PLATINUM,0.3299999999999983,3.030303030303046
Vi,50.39,0.28,50.39,5.31,1.26,0.0,jungle lane,114720.0,PLATINUM,0.0,
Zeri,47.33,-0.05,50.39,2.06,0.27,-6.0,bottom lane,44450.0,PLATINUM,-3.0600000000000023,-1.9607843137254888
Annie,51.28,0.34,50.39,2.89,0.89,3.0,middle lane,62416.0,PLATINUM,0.8900000000000006,3.3707865168539306
Amumu,51.94,0.74,50.39,3.33,2.15,5.0,jungle lane,71914.0,PLATINUM,1.5499999999999972,3.2258064516129092
Hwei,50.65,0.22,50.39,3.33,1.66,1.0,middle lane,72004.0,PLATINUM,0.259999999999998,3.8461538461538756
Nunu & Willump,50.17,0.33,50.39,1.79,0.44,0.0,jungle lane,38683.0,PLATINUM,-0.21999999999999886,0.0
Kalista,46.87,0.32,50.39,1.19,0.25,-4.0,bottom lane,25742.0,PLATINUM,-3.520000000000003,-1.1363636363636354
Vex,51.98,0.59,50.39,3.08,3.76,5.0,middle lane,66547.0,PLATINUM,1.5899999999999963,3.1446540880503218
Evelynn,50.18,0.2,50.39,2.17,1.88,0.0,jungle lane,46808.0,PLATINUM,-0.21000000000000085,0.0
Akshan,49.93,0.41,50.39,2.11,1.7,-1.0,middle lane,45534.0,PLATINUM,-0.46000000000000085,-2.1739130434782568
Malzahar,51.77,0.36,50.39,9.94,17.39,17.0,middle lane,214630.0,PLATINUM,1.3800000000000026,12.318840579710121
Riven,48.91,0.07,50.39,2.89,1.21,-4.0,top lane,62369.0,PLATINUM,-1.480000000000004,-2.7027027027026955
Kha'Zix,48.58,0.13,50.39,4.69,2.74,-9.0,jungle lane,101363.0,PLATINUM,-1.8100000000000023,-4.972375690607729
Nasus,50.58,1.06,50.39,3.87,4.95,1.0,top lane,83551.0,PLATINUM,0.18999999999999773,5.263157894736905
Akali,49.5,0.42,50.39,7.04,17.86,-8.0,middle lane,152001.0,PLATINUM,-0.8900000000000006,-8.988764044943814
Hecarim,46.6,0.08,50.39,2.52,1.2,-10.0,jungle lane,54428.0,PLATINUM,-3.789999999999999,-2.638522427440634
Rengar,46.85,0.05,50.39,3.31,3.26,-12.0,jungle lane,71399.0,PLATINUM,-3.539999999999999,-3.389830508474577
Yorick,51.07,0.74,50.39,5.02,11.35,4.0,top lane,108443.0,PLATINUM,0.6799999999999997,5.882352941176473
Ivern,49.33,-0.22,50.39,0.86,0.29,-1.0,jungle lane,18682.0,PLATINUM,-1.0600000000000023,-0.9433962264150924
Yasuo,49.29,0.66,50.39,9.11,19.04,-12.0,middle lane,196824.0,PLATINUM,-1.1000000000000014,-10.909090909090896
Gwen,50.06,0.42,50.39,2.2,2.64,-1.0,top lane,47463.0,PLATINUM,-0.3299999999999983,-3.030303030303046
Renata Glasc,50.76,0.38,50.39,0.81,0.15,0.0,support lane,17499.0,PLATINUM,0.36999999999999744,0.0
Elise,49.38,-0.02,50.39,1.59,0.82,-2.0,jungle lane,34429.0,PLATINUM,-1.009999999999998,-1.9801980198019842
Syndra,49.99,0.45,50.39,3.65,2.33,-1.0,middle lane,78856.0,PLATINUM,-0.3999999999999986,-2.500000000000009
Nidalee,46.93,0.11,50.39,1.39,0.44,-5.0,jungle lane,30119.0,PLATINUM,-3.460000000000001,-1.4450867052023117
Tahm Kench,50.42,0.88,50.39,3.17,3.94,0.0,support lane,68450.0,PLATINUM,0.030000000000001137,0.0
Illaoi,51.55,0.8,50.39,2.92,6.57,4.0,top lane,63149.0,PLATINUM,1.1599999999999966,3.4482758620689755
Jayce,47.78,0.11,50.39,3.35,2.58,-9.0,top lane,72251.0,PLATINUM,-2.6099999999999994,-3.448275862068966
Sejuani,50.31,0.54,50.39,1.98,0.24,0.0,jungle lane,42855.0,PLATINUM,-0.0799999999999983,0.0
Darius,49.26,0.72,50.39,7.58,16.09,-10.0,top lane,163671.0,PLATINUM,-1.1300000000000026,-8.849557522123874
Rakan,49.35,0.08,50.39,2.23,0.24,-2.0,support lane,48136.0,PLATINUM,-1.0399999999999991,-1.9230769230769247
Sylas,49.27,0.3,50.39,6.23,11.33,-8.0,middle lane,134583.0,PLATINUM,-1.1199999999999974,-7.142857142857159
Alistar,49.55,0.41,50.39,3.06,1.24,-3.0,support lane,66133.0,PLATINUM,-0.8400000000000034,-3.571428571428557
Skarner,47.9,0.12,50.39,0.69,0.19,-2.0,jungle lane,14812.0,PLATINUM,-2.490000000000002,-0.8032128514056218
Camille,49.25,0.15,50.39,2.04,0.69,-2.0,top lane,44038.0,PLATINUM,-1.1400000000000006,-1.7543859649122797
LeBlanc,49.15,0.26,50.39,4.02,13.09,-6.0,middle lane,86723.0,PLATINUM,-1.240000000000002,-4.838709677419347
Kindred,48.83,0.8,50.39,2.46,0.91,-4.0,jungle lane,53083.0,PLATINUM,-1.5600000000000023,-2.5641025641025603
Neeko,49.06,0.56,50.39,1.94,1.05,-3.0,support lane,41800.0,PLATINUM,-1.3299999999999983,-2.2556390977443637
Orianna,47.55,0.39,50.39,3.15,0.61,-9.0,middle lane,68007.0,PLATINUM,-2.8400000000000034,-3.1690140845070385
Heimerdinger,50.52,0.74,50.39,1.39,2.55,0.0,top lane,29985.0,PLATINUM,0.13000000000000256,0.0
Renekton,50.11,0.26,50.39,5.0,3.3,-1.0,top lane,108043.0,PLATINUM,-0.28000000000000114,-3.571428571428557
Swain,48.82,0.83,50.39,3.97,4.35,-7.0,support lane,85686.0,PLATINUM,-1.5700000000000003,-4.458598726114649
Wukong,49.92,0.18,50.39,2.09,0.44,-1.0,jungle lane,45180.0,PLATINUM,-0.46999999999999886,-2.1276595744680904
Volibear,50.57,0.62,50.39,3.83,3.6,1.0,top lane,82828.0,PLATINUM,0.17999999999999972,5.555555555555564
Taliyah,48.41,0.22,50.39,0.99,0.19,-2.0,middle lane,21348.0,PLATINUM,-1.980000000000004,-1.0101010101010082
Aurora,48.75,0.15,50.39,2.9,2.24,-5.0,middle lane,62680.0,PLATINUM,-1.6400000000000006,-3.048780487804877
Cho'Gath,50.23,0.74,50.39,2.55,0.91,0.0,top lane,55078.0,PLATINUM,-0.1600000000000037,0.0
Cassiopeia,48.93,0.4,50.39,1.04,0.98,-2.0,middle lane,22554.0,PLATINUM,-1.4600000000000009,-1.3698630136986294
Yuumi,48.98,0.25,50.39,4.61,4.83,-7.0,support lane,99520.0,PLATINUM,-1.4100000000000037,-4.964539007092186
Rumble,48.3,0.04,50.39,2.1,0.89,-4.0,top lane,45439.0,PLATINUM,-2.0900000000000034,-1.9138755980861213
Zoe,48.65,0.59,50.39,2.74,3.07,-5.0,middle lane,59221.0,PLATINUM,-1.740000000000002,-2.8735632183908013
Galio,48.83,0.46,50.39,2.67,1.28,-4.0,middle lane,57692.0,PLATINUM,-1.5600000000000023,-2.5641025641025603
Fiora,48.94,0.29,50.39,2.65,3.05,-4.0,top lane,57267.0,PLATINUM,-1.4500000000000028,-2.758620689655167
Zaahen,49.78,0.46,50.39,2.1,3.13,-1.0,top lane,45254.0,PLATINUM,-0.6099999999999994,-1.6393442622950836
Kassadin,48.7,-0.16,50.39,1.63,1.27,-3.0,middle lane,35136.0,PLATINUM,-1.6899999999999977,-1.7751479289940852
Ryze,47.92,0.13,50.39,2.59,0.62,-6.0,middle lane,56016.0,PLATINUM,-2.469999999999999,-2.4291497975708514
K'Sante,47.14,0.06,50.39,2.84,1.71,-9.0,top lane,61365.0,PLATINUM,-3.25,-2.769230769230769
Kennen,47.34,0.35,50.39,1.9,1.5,-6.0,top lane,41078.0,PLATINUM,-3.049999999999997,-1.9672131147541
Quinn,49.48,0.67,50.39,1.18,1.06,-1.0,top lane,25491.0,PLATINUM,-0.9100000000000037,-1.0989010989010943
Trundle,49.84,1.03,50.39,1.55,0.49,-1.0,top lane,33491.0,PLATINUM,-0.5499999999999972,-1.8181818181818277
Gragas,48.25,0.08,50.39,1.98,0.53,-4.0,top lane,42821.0,PLATINUM,-2.1400000000000006,-1.8691588785046724
Azir,45.95,-0.13,50.39,1.81,0.35,-8.0,middle lane,39124.0,PLATINUM,-4.439999999999998,-1.8018018018018027
Mel,46.65,0.76,50.39,4.31,32.99,-24.0,middle lane,93161.0,PLATINUM,-3.740000000000002,-6.417112299465237
Gnar,48.63,0.15,50.39,3.2,1.04,-6.0,top lane,69124.0,PLATINUM,-1.759999999999998,-3.4090909090909127
Nami,52.02,0.01,50.18,8.35,2.26,16.0,support lane,202822.0,GOLD,1.8400000000000034,8.695652173913027
Smolder,54.86,-0.19,50.18,17.02,12.79,91.0,bottom lane,413218.0,GOLD,4.68,19.444444444444446
Naafiri,50.95,-0.2,50.18,5.97,25.46,6.0,jungle lane,144878.0,GOLD,0.7700000000000031,7.79220779220776
Xin Zhao,50.69,0.23,50.18,7.56,5.44,4.0,jungle lane,183630.0,GOLD,0.509999999999998,7.8431372549019915
Seraphine,53.01,0.35,50.18,11.74,5.84,35.0,support lane,285088.0,GOLD,2.8299999999999983,12.367491166077746
Jinx,51.27,0.33,50.18,12.67,4.37,14.0,bottom lane,307733.0,GOLD,1.0900000000000034,12.844036697247667
Zed,50.51,0.1,50.18,9.01,27.12,4.0,middle lane,218888.0,GOLD,0.3299999999999983,12.121212121212183
Singed,53.25,0.02,50.18,2.41,1.05,7.0,top lane,58463.0,GOLD,3.0700000000000003,2.280130293159609
Kayn,51.33,0.36,50.18,9.45,5.75,12.0,jungle lane,229560.0,GOLD,1.1499999999999986,10.434782608695665
Thresh,50.19,0.05,50.18,10.25,4.49,0.0,support lane,248897.0,GOLD,0.00999999999999801,0.0
Soraka,51.81,-0.38,50.18,4.35,2.43,7.0,support lane,105541.0,GOLD,1.6300000000000026,4.294478527607355
Xerath,52.88,-0.04,50.18,5.21,11.99,16.0,middle lane,126411.0,GOLD,2.700000000000003,5.925925925925919
Vladimir,50.88,-0.11,50.18,3.61,3.57,3.0,middle lane,87652.0,GOLD,0.7000000000000028,4.285714285714269
Viego,50.09,0.09,50.18,9.59,9.95,-1.0,jungle lane,232912.0,GOLD,-0.0899999999999963,-11.111111111111567
Master Yi,50.46,0.7,50.18,9.79,18.9,3.0,jungle lane,237709.0,GOLD,0.28000000000000114,10.714285714285671
Irelia,50.23,-0.09,50.18,3.68,11.91,0.0,top lane,89268.0,GOLD,0.04999999999999716,0.0
Ahri,50.26,0.23,50.18,9.55,4.43,1.0,middle lane,231769.0,GOLD,0.0799999999999983,12.500000000000266
Rell,51.11,0.18,50.18,2.35,0.8,2.0,support lane,57164.0,GOLD,0.9299999999999997,2.150537634408603
Olaf,51.12,0.36,50.18,2.14,1.93,2.0,top lane,52056.0,GOLD,0.9399999999999977,2.1276595744680904
Nocturne,52.41,0.2,50.18,9.31,16.65,25.0,jungle lane,226074.0,GOLD,2.229999999999997,11.21076233183858
Milio,52.41,-0.38,50.18,4.99,3.33,12.0,support lane,121144.0,GOLD,2.229999999999997,5.381165919282519
Sona,52.49,0.3,50.18,2.84,0.27,7.0,support lane,68950.0,GOLD,2.3100000000000023,3.030303030303027
Garen,52.72,0.35,50.18,10.07,10.55,29.0,top lane,244422.0,GOLD,2.539999999999999,11.417322834645674
Shyvana,54.12,0.03,50.18,8.01,10.95,35.0,jungle lane,194593.0,GOLD,3.9399999999999977,8.883248730964473
Ekko,50.69,0.37,50.18,3.03,1.79,2.0,middle lane,73454.0,GOLD,0.509999999999998,3.9215686274509958
Warwick,52.94,0.72,50.18,6.46,5.73,19.0,jungle lane,156971.0,GOLD,2.759999999999998,6.884057971014498
Ashe,51.28,0.24,50.18,16.38,9.36,20.0,bottom lane,397654.0,GOLD,1.1000000000000014,18.18181818181816
Lux,50.83,0.72,50.18,12.74,12.8,9.0,support lane,309267.0,GOLD,0.6499999999999986,13.846153846153877
Jarvan IV,50.14,-0.14,50.18,4.77,0.89,0.0,jungle lane,115875.0,GOLD,-0.03999999999999915,0.0
Lissandra,50.7,-0.32,50.18,3.73,2.18,2.0,middle lane,90566.0,GOLD,0.5200000000000031,3.846153846153823
Vel'Koz,51.41,0.08,50.18,3.18,1.69,4.0,support lane,77246.0,GOLD,1.2299999999999969,3.2520325203252116
Brand,52.34,0.07,50.18,6.99,11.72,17.0,support lane,169747.0,GOLD,2.1600000000000037,7.870370370370357
Yone,50.43,0.29,50.18,7.48,7.41,2.0,middle lane,181663.0,GOLD,0.25,8.0
Zilean,51.56,-0.13,50.18,1.76,0.67,2.0,support lane,42620.0,GOLD,1.3800000000000026,1.449275362318838
Samira,50.92,0.33,50.18,6.01,11.54,5.0,bottom lane,145819.0,GOLD,0.740000000000002,6.756756756756738
Kayle,51.67,0.25,50.18,3.33,2.84,5.0,top lane,80894.0,GOLD,1.490000000000002,3.355704697986573
Blitzcrank,50.05,0.44,50.18,5.21,14.08,-1.0,support lane,126601.0,GOLD,-0.13000000000000256,-7.692307692307541
Janna,51.6,-0.41,50.18,1.63,0.22,2.0,support lane,39520.0,GOLD,1.4200000000000017,1.4084507042253505
Diana,51.26,0.32,50.18,4.16,5.55,5.0,middle lane,100919.0,GOLD,1.0799999999999983,4.629629629629637
Malphite,52.07,0.18,50.18,7.12,17.43,16.0,top lane,172762.0,GOLD,1.8900000000000006,8.465608465608463
Aurelion Sol,50.81,0.14,50.18,2.53,1.14,2.0,middle lane,61375.0,GOLD,0.6300000000000026,3.1746031746031615
Zyra,51.35,0.13,50.18,4.62,4.56,6.0,support lane,112228.0,GOLD,1.1700000000000017,5.128205128205121
Briar,52.62,0.08,50.18,6.11,14.65,17.0,jungle lane,148434.0,GOLD,2.4399999999999977,6.967213114754105
Jax,50.05,0.3,50.18,5.24,9.47,-1.0,top lane,127139.0,GOLD,-0.13000000000000256,-7.692307692307541
Vayne,50.02,-0.03,50.18,8.0,12.45,-1.0,bottom lane,194346.0,GOLD,-0.1599999999999966,-6.250000000000133
Graves,49.84,-0.01,50.18,8.55,7.68,-3.0,jungle lane,207670.0,GOLD,-0.3399999999999963,-8.823529411764802
Viktor,51.4,-0.21,50.18,5.84,3.16,7.0,middle lane,141791.0,GOLD,1.2199999999999989,5.737704918032792
Miss Fortune,51.3,0.72,50.18,14.06,5.08,17.0,bottom lane,341484.0,GOLD,1.1199999999999974,15.178571428571463
Mordekaiser,52.52,0.45,50.18,8.37,15.19,23.0,top lane,203343.0,GOLD,2.3400000000000034,9.829059829059815
Leona,51.47,0.52,50.18,7.79,9.87,11.0,support lane,189085.0,GOLD,1.2899999999999991,8.527131782945743
Jhin,49.86,0.0,50.18,16.84,3.46,-6.0,bottom lane,408894.0,GOLD,-0.3200000000000003,-18.749999999999982
Sion,51.41,-0.18,50.18,3.93,1.29,5.0,top lane,95338.0,GOLD,1.2299999999999969,4.065040650406514
Fiddlesticks,50.74,0.33,50.18,2.27,0.93,1.0,jungle lane,55069.0,GOLD,0.5600000000000023,1.7857142857142785
Anivia,50.27,-0.29,50.18,2.33,2.24,0.0,middle lane,56639.0,GOLD,0.09000000000000341,0.0
Dr. Mundo,50.96,0.32,50.18,3.64,7.29,3.0,top lane,88298.0,GOLD,0.7800000000000011,3.8461538461538405
Kog'Maw,52.59,-0.17,50.18,1.43,0.37,3.0,bottom lane,34735.0,GOLD,2.4100000000000037,1.2448132780082968
Senna,49.86,-0.01,50.18,5.15,1.33,-2.0,support lane,125119.0,GOLD,-0.3200000000000003,-6.249999999999995
Lillia,51.7,-0.03,50.18,3.78,2.27,6.0,jungle lane,91700.0,GOLD,1.5200000000000031,3.9473684210526234
Twitch,50.62,0.2,50.18,5.04,7.21,2.0,bottom lane,122495.0,GOLD,0.4399999999999977,4.545454545454569
Tryndamere,51.08,0.3,50.18,3.82,2.9,4.0,top lane,92815.0,GOLD,0.8999999999999986,4.444444444444452
Gangplank,50.14,0.05,50.18,3.8,2.89,0.0,top lane,92294.0,GOLD,-0.03999999999999915,0.0
Karma,49.3,-0.39,50.18,5.4,4.04,-5.0,support lane,131184.0,GOLD,-0.8800000000000026,-5.681818181818166
Draven,47.91,0.08,50.18,3.52,8.47,-9.0,bottom lane,85548.0,GOLD,-2.270000000000003,-3.9647577092510957
Rek'Sai,48.85,-0.1,50.18,0.95,0.57,-1.0,jungle lane,23145.0,GOLD,-1.3299999999999983,-0.7518796992481213
Karthus,48.46,0.33,50.18,1.25,0.36,-2.0,jungle lane,30425.0,GOLD,-1.7199999999999989,-1.1627906976744193
Shen,50.33,0.13,50.18,3.14,1.06,0.0,top lane,76222.0,GOLD,0.14999999999999858,0.0
Nilah,53.14,0.06,50.18,1.22,2.27,4.0,bottom lane,29706.0,GOLD,2.960000000000001,1.3513513513513509
Veigar,52.63,0.6,50.18,6.55,3.45,17.0,middle lane,158960.0,GOLD,2.450000000000003,6.938775510204073
Lee Sin,48.16,0.15,50.18,10.31,11.62,-24.0,jungle lane,250384.0,GOLD,-2.020000000000003,-11.881188118811863
Bard,49.21,-0.31,50.18,3.15,0.85,-3.0,support lane,76405.0,GOLD,-0.9699999999999989,-3.092783505154643
Teemo,52.07,0.33,50.18,8.41,14.98,19.0,top lane,204167.0,GOLD,1.8900000000000006,10.05291005291005
Fizz,51.7,0.08,50.18,6.13,10.14,10.0,middle lane,148788.0,GOLD,1.5200000000000031,6.578947368421039
Nautilus,49.48,0.44,50.18,9.49,13.37,-8.0,support lane,230509.0,GOLD,-0.7000000000000028,-11.428571428571383
Lucian,48.18,0.19,50.18,6.78,2.14,-14.0,bottom lane,164551.0,GOLD,-2.0,-7.0
Ambessa,47.62,-0.12,50.18,2.14,4.94,-6.0,jungle lane,51918.0,GOLD,-2.5600000000000023,-2.343749999999998
Sett,52.0,0.35,50.18,7.14,4.34,14.0,top lane,173333.0,GOLD,1.8200000000000003,7.692307692307691
Caitlyn,49.76,0.29,50.18,20.87,30.16,-13.0,bottom lane,506748.0,GOLD,-0.4200000000000017,-30.952380952380828
Bel'Veth,49.42,0.6,50.18,1.31,1.13,-1.0,jungle lane,31929.0,GOLD,-0.759999999999998,-1.315789473684214
Pantheon,49.13,0.51,50.18,3.95,2.28,-4.0,support lane,95795.0,GOLD,-1.0499999999999972,-3.80952380952382
Talon,47.95,-0.1,50.18,2.79,1.62,-6.0,jungle lane,67746.0,GOLD,-2.229999999999997,-2.6905829596412594
Ziggs,52.5,0.54,50.18,1.54,0.71,4.0,bottom lane,37429.0,GOLD,2.3200000000000003,1.7241379310344827
Rammus,53.45,0.49,50.18,2.63,6.38,9.0,jungle lane,63931.0,GOLD,3.270000000000003,2.7522935779816486
Ezreal,47.22,-0.12,50.18,16.15,6.97,-51.0,bottom lane,392042.0,GOLD,-2.960000000000001,-17.229729729729726
Kled,51.15,0.03,50.18,1.13,0.74,1.0,top lane,27458.0,GOLD,0.9699999999999989,1.0309278350515476
Poppy,50.77,0.32,50.18,1.52,1.22,1.0,support lane,37014.0,GOLD,0.5900000000000034,1.6949152542372783
Braum,50.24,-0.03,50.18,5.53,3.6,0.0,support lane,134241.0,GOLD,0.060000000000002274,0.0
Xayah,50.58,0.5,50.18,3.02,0.53,1.0,bottom lane,73433.0,GOLD,0.3999999999999986,2.500000000000009
Aphelios,49.66,0.05,50.18,3.35,1.82,-2.0,bottom lane,81245.0,GOLD,-0.5200000000000031,-3.846153846153823
Yunara,47.29,0.15,50.18,4.41,2.0,-13.0,bottom lane,107108.0,GOLD,-2.8900000000000006,-4.49826989619377
Malzahar,52.3,0.25,50.18,10.5,19.71,28.0,middle lane,255020.0,GOLD,2.1199999999999974,13.207547169811336
Kai'Sa,47.7,0.01,50.18,12.76,2.11,-32.0,bottom lane,309864.0,GOLD,-2.479999999999997,-12.90322580645163
Pyke,49.1,0.55,50.18,5.73,14.03,-7.0,support lane,139204.0,GOLD,-1.0799999999999983,-6.481481481481492
Sivir,49.64,-0.16,50.18,3.29,1.9,-2.0,bottom lane,79786.0,GOLD,-0.5399999999999991,-3.7037037037037095
Amumu,52.4,0.47,50.18,4.26,2.74,10.0,jungle lane,103551.0,GOLD,2.219999999999999,4.5045045045045065
Taric,52.79,-0.27,50.18,1.0,0.22,3.0,support lane,24205.0,GOLD,2.6099999999999994,1.149425287356322
Morgana,51.32,0.7,50.18,8.27,25.82,13.0,support lane,200899.0,GOLD,1.1400000000000006,11.403508771929818
Syndra,50.11,-0.37,50.18,3.36,2.12,0.0,middle lane,81649.0,GOLD,-0.07000000000000028,0.0
Ornn,51.25,-0.36,50.18,3.39,0.78,4.0,top lane,82434.0,GOLD,1.0700000000000003,3.738317757009345
Wukong,50.45,0.38,50.18,2.09,0.44,1.0,jungle lane,50832.0,GOLD,0.2700000000000031,3.7037037037036606
Yasuo,49.64,0.43,50.18,10.29,20.08,-7.0,middle lane,249902.0,GOLD,-0.5399999999999991,-12.962962962962983
Shaco,49.34,0.3,50.18,6.67,29.35,-8.0,jungle lane,161950.0,GOLD,-0.8399999999999963,-9.523809523809566
Corki,47.5,-0.32,50.18,1.28,0.33,-3.0,bottom lane,31005.0,GOLD,-2.6799999999999997,-1.119402985074627
Qiyana,47.44,0.27,50.18,1.52,0.47,-4.0,middle lane,36901.0,GOLD,-2.740000000000002,-1.459854014598539
Yorick,51.47,0.23,50.18,5.87,13.61,9.0,top lane,142434.0,GOLD,1.2899999999999991,6.976744186046516
Urgot,50.79,0.0,50.18,2.63,1.43,2.0,top lane,63779.0,GOLD,0.6099999999999994,3.278688524590167
Nunu & Willump,50.01,0.54,50.18,1.82,0.44,0.0,jungle lane,44246.0,GOLD,-0.1700000000000017,0.0
Annie,50.93,0.3,50.18,2.71,0.91,2.0,middle lane,65830.0,GOLD,0.75,2.6666666666666665
Lulu,49.19,-0.3,50.18,6.28,5.37,-7.0,support lane,152605.0,GOLD,-0.990000000000002,-7.070707070707057
Zeri,47.43,0.12,50.18,1.77,0.24,-5.0,bottom lane,43091.0,GOLD,-2.75,-1.8181818181818181
Vi,50.17,0.16,50.18,5.12,1.12,0.0,jungle lane,124203.0,GOLD,-0.00999999999999801,0.0
Tristana,48.78,0.68,50.18,4.92,2.06,-7.0,bottom lane,119369.0,GOLD,-1.3999999999999986,-5.000000000000005
Hecarim,46.01,0.65,50.18,2.17,0.83,-9.0,jungle lane,52685.0,GOLD,-4.170000000000002,-2.158273381294963
Maokai,50.95,0.35,50.18,1.98,0.27,2.0,support lane,48066.0,GOLD,0.7700000000000031,2.5974025974025867
Udyr,49.42,0.04,50.18,1.78,0.65,-1.0,jungle lane,43211.0,GOLD,-0.759999999999998,-1.315789473684214
Varus,47.01,0.15,50.18,3.87,2.42,-13.0,bottom lane,93983.0,GOLD,-3.1700000000000017,-4.100946372239745
Katarina,48.63,0.11,50.18,6.3,7.09,-11.0,middle lane,153070.0,GOLD,-1.5499999999999972,-7.0967741935484
Illaoi,51.59,0.52,50.18,3.49,8.54,5.0,top lane,84815.0,GOLD,1.4100000000000037,3.5460992907801328
Vex,51.12,0.48,50.18,3.41,4.0,3.0,middle lane,82896.0,GOLD,0.9399999999999977,3.1914893617021356
Riven,47.93,0.55,50.18,2.57,0.88,-6.0,top lane,62337.0,GOLD,-2.25,-2.6666666666666665
